2024-03-18 15:41:59 INFO  Keywords:95 - Navigate is called
2024-03-18 15:42:01 INFO  Keywords:493 - ClearText is called
2024-03-18 15:42:01 INFO  Keywords:279 - Waiting for webElement...gateway.username
2024-03-18 15:42:02 INFO  Keywords:282 - Element found...gateway.username
2024-03-18 15:42:02 INFO  Keywords:497 - 
2024-03-18 15:42:02 INFO  Keywords:121 - InputText is called
2024-03-18 15:42:02 INFO  Keywords:279 - Waiting for webElement...gateway.username
2024-03-18 15:42:02 INFO  Keywords:282 - Element found...gateway.username
2024-03-18 15:42:02 INFO  Keywords:493 - ClearText is called
2024-03-18 15:42:02 INFO  Keywords:279 - Waiting for webElement...gateway.password
2024-03-18 15:42:02 INFO  Keywords:282 - Element found...gateway.password
2024-03-18 15:42:02 INFO  Keywords:497 - 
2024-03-18 15:42:02 INFO  Keywords:121 - InputText is called
2024-03-18 15:42:02 INFO  Keywords:279 - Waiting for webElement...gateway.password
2024-03-18 15:42:02 INFO  Keywords:282 - Element found...gateway.password
2024-03-18 15:42:02 INFO  Keywords:132 - ClickOnLink is called
2024-03-18 15:42:02 INFO  Keywords:279 - Waiting for webElement...gateway.login
2024-03-18 15:42:02 INFO  Keywords:282 - Element found...gateway.login
2024-03-18 15:42:22 INFO  Keywords:132 - ClickOnLink is called
2024-03-18 15:42:22 INFO  Keywords:279 - Waiting for webElement...management
2024-03-18 15:42:22 INFO  Keywords:282 - Element found...management
2024-03-18 15:42:23 INFO  Keywords:279 - Waiting for webElement...managementTools
2024-03-18 15:42:23 INFO  Keywords:282 - Element found...managementTools
2024-03-18 15:42:24 INFO  Keywords:132 - ClickOnLink is called
2024-03-18 15:42:24 INFO  Keywords:279 - Waiting for webElement...feedManagement
2024-03-18 15:42:24 INFO  Keywords:282 - Element found...feedManagement
2024-03-18 15:42:40 INFO  Keywords:132 - ClickOnLink is called
2024-03-18 15:42:40 INFO  Keywords:279 - Waiting for webElement...Search1Bar
2024-03-18 15:42:40 INFO  Keywords:282 - Element found...Search1Bar
2024-03-18 15:42:57 INFO  Keywords:279 - Waiting for webElement...TrID
2024-03-18 15:42:57 INFO  Keywords:282 - Element found...TrID
2024-03-18 15:42:57 INFO  Keywords:121 - InputText is called
2024-03-18 15:42:57 INFO  Keywords:279 - Waiting for webElement...Search2Bar
2024-03-18 15:42:57 INFO  Keywords:282 - Element found...Search2Bar
2024-03-18 15:42:57 INFO  Keywords:132 - ClickOnLink is called
2024-03-18 15:42:57 INFO  Keywords:279 - Waiting for webElement...SearchButton3
2024-03-18 15:42:57 INFO  Keywords:282 - Element found...SearchButton3
2024-03-18 15:43:13 INFO  Keywords:132 - ClickOnLink is called
2024-03-18 15:43:13 INFO  Keywords:279 - Waiting for webElement...transactionSearchmyResult
2024-03-18 15:43:14 INFO  Keywords:282 - Element found...transactionSearchmyResult
2024-03-18 15:43:30 INFO  Keywords:132 - ClickOnLink is called
2024-03-18 15:43:30 INFO  Keywords:279 - Waiting for webElement...TransXMLButton
2024-03-18 15:43:30 INFO  Keywords:282 - Element found...TransXMLButton
2024-03-18 15:43:46 INFO  Keywords:132 - ClickOnLink is called
2024-03-18 15:43:46 INFO  Keywords:279 - Waiting for webElement...TransResponseXML
2024-03-18 15:43:46 INFO  Keywords:282 - Element found...TransResponseXML
2024-03-18 15:43:47 INFO  Keywords:279 - Waiting for webElement...TransResponseXML
2024-03-18 15:43:47 INFO  Keywords:282 - Element found...TransResponseXML
