2024-10-09 11:41:54 INFO  Keywords:104 - Navigate is called
2024-10-09 11:41:56 INFO  Keywords:130 - InputText is called
2024-10-09 11:41:56 INFO  Keywords:301 - Waiting for webElement...gateway.username
2024-10-09 11:41:56 INFO  Keywords:305 - Element found...gateway.username
2024-10-09 11:41:56 INFO  Keywords:130 - InputText is called
2024-10-09 11:41:56 INFO  Keywords:301 - Waiting for webElement...gateway.password
2024-10-09 11:41:56 INFO  Keywords:305 - Element found...gateway.password
2024-10-09 11:41:56 INFO  Keywords:141 - ClickOnLink is called
2024-10-09 11:41:56 INFO  Keywords:301 - Waiting for webElement...gateway.login
2024-10-09 11:41:56 INFO  Keywords:305 - Element found...gateway.login
2024-10-09 11:42:32 INFO  Keywords:141 - ClickOnLink is called
2024-10-09 11:42:32 INFO  Keywords:301 - Waiting for webElement...postsamldata
2024-10-09 11:42:32 INFO  Keywords:305 - Element found...postsamldata
2024-10-09 11:42:49 INFO  Keywords:141 - ClickOnLink is called
2024-10-09 11:42:49 INFO  Keywords:301 - Waiting for webElement...next
2024-10-09 11:42:49 INFO  Keywords:305 - Element found...next
2024-10-09 11:43:08 INFO  Keywords:130 - InputText is called
2024-10-09 11:43:08 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.insuranceamount
2024-10-09 11:43:08 INFO  Keywords:305 - Element found...policyConfiguration.insuranceamount
2024-10-09 11:43:08 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.DeathBenefit
2024-10-09 11:43:08 INFO  Keywords:305 - Element found...policyConfiguration.DeathBenefit
2024-10-09 11:43:08 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.LTC
2024-10-09 11:43:18 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.payors
2024-10-09 11:43:18 INFO  Keywords:305 - Element found...policyConfiguration.payors
2024-10-09 11:43:18 INFO  Keywords:301 - Waiting for webElement...policyConfiguration.purposeofpolicy
2024-10-09 11:43:18 INFO  Keywords:305 - Element found...policyConfiguration.purposeofpolicy
2024-10-09 11:43:19 INFO  Keywords:141 - ClickOnLink is called
2024-10-09 11:43:19 INFO  Keywords:301 - Waiting for webElement...next
2024-10-09 11:43:19 INFO  Keywords:305 - Element found...next
2024-10-09 11:44:54 INFO  Keywords:301 - Waiting for webElement...primaryinsured.anticipatedUnderwritingclass
